ID	Dinero	Fecha
12	1000	01/02/2026
9	1000	01/02/2026
2	7000	01/02/2026
11	2500	01/02/2026
6	8500	01/02/2026
9	7000	01/02/2026
12	5000	01/02/2026
15	5000	01/02/2026
14	5000	01/02/2026
10	7000	01/02/2026
4	7000	01/02/2026
3	8000	01/02/2026
11	3000	01/02/2026
2	8000	01/02/2026
7	5000	01/02/2026
2	8000	13/02/2026
9	7000	13/02/2026
12	3000	13/02/2026
4	8000	13/02/2026
7	3000	13/02/2026
14	3000	13/02/2026
10	3000	13/02/2026
3	7000	13/02/2026
11	3000	13/02/2026
6	3000	13/02/2026
2	10000	20/02/2026
9	7600	20/02/2026
12	6000	20/02/2026
4	8500	20/02/2026
7	7000	20/02/2026
14	5000	20/02/2026
10	6700	20/02/2026
3	10000	20/02/2026
15	5000	20/02/2026
6	6700	20/02/2026
16	6700	20/02/2026
8	6700	20/02/2026
11	7000	20/02/2026
2	10000	27/02/2026
9	6500	27/02/2026
12	7500	27/02/2026
4	8000	27/02/2026
7	7000	27/02/2026
14	6000	27/02/2026
10	7000	27/02/2026
3	11000	27/02/2026
8	7000	27/02/2026
15	6000	27/02/2026
6	7000	27/02/2026
11	2000	27/02/2026
16	7000	27/02/2026
